customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C100021,Male,0,No,Yes,21,Yes,No,DSL,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,53.64,1132.72,0
C100022,Male,1,No,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Two year,No,Mailed check,97.45,2249.43,0
C100023,Female,1,No,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,92.69,5944.54,1
C100024,Female,1,No,No,35,Yes,No,DSL,No,Yes,Yes,Yes,No,Two year,No,Electronic check,66.14,2272.86,0
C100025,Female,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,19.3,1053.98,0
C100026,Male,0,No,No,32,Yes,No,DSL,No,No,No,No,No,Month-to-month,No,Bank transfer,51.06,1590.46,0
C100027,Female,0,Yes,No,50,Yes,No,DSL,Yes,No,No,Yes,No,One year,Yes,Electronic check,62.73,3137.27,0
C100028,Female,1,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.83,981.28,0
C100029,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,90.86,1838.14,0
C100030,Male,0,No,Yes,63,Yes,No,DSL,Yes,Yes,No,No,No,One year,Yes,Bank transfer,64.28,4073.6,0
C100031,Male,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.19,4960.6,0
C100032,Male,1,No,No,56,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.98,5140.62,1
C100033,Female,0,No,No,69,Yes,No,DSL,Yes,Yes,No,No,No,One year,Yes,Credit card,58.37,4037.4,0
C100034,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,89.23,1595.62,1
C100035,Male,1,No,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,100.26,601.52,1
C100036,Female,1,Yes,No,42,Yes,No,DSL,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer,59.77,2530.15,0
C100037,Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Credit card,80.32,1836.2,0
C100038,Male,0,Yes,No,31,Yes,Yes,DSL,No,Yes,Yes,No,No,One year,No,Electronic check,63.35,1980.0,1
C100039,Female,1,Yes,No,17,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Two year,No,Credit card,73.3,1259.67,0
C100040,Male,1,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.49,749.01,0
C100041,Female,1,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,104.09,2933.89,1
C100042,Female,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,86.67,2180.7,1
C100043,Male,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,No,Two year,Yes,Electronic check,75.46,4077.11,0
C100044,Male,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.23,4208.79,1
C100045,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,Yes,No,No,No,One year,No,Bank transfer,60.44,2037.69,0
C100046,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,21.74,163.19,0
C100047,Female,1,No,No,41,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.45,3637.19,1
C100048,Female,1,No,Yes,12,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.36,957.18,1
C100049,Female,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,97.14,2145.72,0
C100050,Female,1,No,No,30,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,55.58,1642.51,1
C100051,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer,71.26,708.54,1
C100052,Male,1,Yes,No,28,Yes,Yes,DSL,No,Yes,No,No,No,One year,No,Electronic check,57.09,1600.59,0
C100053,Male,1,Yes,No,19,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,74.36,1461.76,1
C100054,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,One year,No,Credit card,91.06,5618.13,0
C100055,Male,1,No,No,62,Yes,No,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.72,5344.22,0
C100056,Female,0,No,No,0,Yes,No,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,62.45,3.0,1
C100057,Male,1,Yes,No,43,No,No phone service,DSL,Yes,Yes,No,No,Yes,Two year,Yes,Credit card,70.99,3060.79,0
C100058,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,Yes,No,No,One year,No,Credit card,83.27,3832.71,0
C100059,Female,0,No,Yes,27,Yes,No,DSL,Yes,No,No,No,No,One year,Yes,Bank transfer,56.94,1546.18,0
C100060,Female,1,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,16.63,562.49,0
C100061,Female,1,No,Yes,57,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.33,4094.9,0
C100062,Male,0,Yes,No,27,No,No phone service,DSL,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer,67.33,1808.66,0
C100063,Female,1,No,Yes,4,Yes,No,DSL,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,64.17,279.33,1
C100064,Male,1,Yes,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,21.42,565.52,0
C100065,Male,0,No,No,18,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,59.59,1071.36,0
C100066,Female,1,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,2524.73,1
C100067,Male,1,No,No,16,Yes,Yes,DSL,No,No,No,No,No,One year,Yes,Electronic check,54.08,874.31,1
C100068,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,66.72,696.06,0
C100069,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,No,No,One year,Yes,Credit card,74.62,5296.29,1
C100070,Female,1,No,No,9,Yes,Yes,DSL,No,No,No,Yes,No,Two year,No,Electronic check,59.45,531.1,0
C100071,Male,0,No,No,51,Yes,No,DSL,No,No,No,No,No,Two year,No,Electronic check,47.73,2412.11,0
C100072,Male,1,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Credit card,91.16,4735.79,1
C100073,Male,1,No,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,93.99,4197.89,1
C100074,Female,0,No,No,66,Yes,No,DSL,No,Yes,No,Yes,No,Two year,No,Mailed check,62.28,4092.54,0
C100075,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Bank transfer,56.38,4.54,1
C100076,Male,1,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.15,447.58,1
C100077,Male,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card,98.32,1334.31,1
C100078,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,One year,Yes,Credit card,96.25,4030.82,0
C100079,Female,1,Yes,Yes,46,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,104.38,4830.25,0
C100080,Female,1,Yes,No,65,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.91,5264.26,1
C100081,Male,1,No,Yes,27,Yes,No,DSL,No,No,No,Yes,Yes,One year,Yes,Electronic check,63.68,1716.23,0
C100082,Male,1,No,No,17,Yes,No,DSL,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,61.27,1050.31,0
C100083,Female,1,No,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,92.24,6181.09,1
C100084,Female,0,No,No,49,No,No phone service,Fiber optic,No,No,No,No,Yes,Two year,No,Mailed check,80.61,3952.02,1
C100085,Female,1,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,20.97,1145.4,0
C100086,Male,1,No,No,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,89.06,2822.0,0
C100087,Male,1,No,No,32,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Bank transfer,50.02,1569.93,0
C100088,Female,1,No,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,83.96,2363.99,0
C100089,Female,0,No,No,54,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Mailed check,82.89,4470.69,0
C100090,Male,1,Yes,No,15,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,99.33,1478.04,1
C100091,Female,0,No,No,71,Yes,No,Fiber optic,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,86.8,6163.19,0
C100092,Female,1,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,Two year,No,Mailed check,74.15,905.74,0
C100093,Male,0,Yes,Yes,33,Yes,Yes,DSL,No,No,No,No,Yes,One year,Yes,Electronic check,62.84,2077.35,0
C100094,Female,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,No,Bank transfer,81.63,1782.64,0
C100095,Male,0,Yes,No,46,No,No phone service,Fiber optic,No,No,No,No,Yes,Month-to-month,No,Mailed check,80.11,3709.39,0
C100096,Male,1,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,17.35,881.96,0
C100097,Female,1,No,No,67,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,91.01,6107.26,0
C100098,Female,0,No,Yes,57,No,No phone service,Fiber optic,Yes,No,No,No,Yes,One year,No,Electronic check,88.8,5081.05,0
C100099,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Mailed check,78.19,1432.24,1
C100100,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,No,No,No,Two year,No,Mailed check,79.24,1211.26,0
C100101,Male,0,Yes,Yes,64,Yes,No,DSL,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,69.6,4466.58,1
C100102,Female,1,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,84.29,2962.03,0
C100103,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.48,160.72,0
C100104,Female,0,Yes,No,60,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.13,5266.02,1
C100105,Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,92.59,,0
C100106,Female,0,Yes,No,1,Yes,No,DSL,No,No,Yes,No,Yes,One year,No,Electronic check,61.1,33.98,1
C100107,Female,1,Yes,No,57,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Month-to-month,No,Credit card,89.32,5075.46,0
C100108,Male,1,No,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,96.68,4280.02,0
C100109,Female,0,Yes,Yes,44,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,81.55,3604.8,0
C100110,Male,1,Yes,No,63,Yes,No,DSL,No,No,Yes,No,Yes,Month-to-month,No,Credit card,63.87,4053.49,0
C100111,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,93.48,3359.68,1
C100112,Female,0,No,Yes,33,Yes,No,DSL,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.81,1587.74,0
C100113,Male,0,No,No,45,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,97.11,4365.05,0
C100114,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Two year,Yes,Credit card,92.14,1292.06,1
C100115,Female,0,Yes,No,11,Yes,Yes,DSL,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,66.94,737.93,1
C100116,Male,1,Yes,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.47,6151.06,1
C100117,Male,1,No,Yes,15,Yes,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Credit card,82.04,1223.43,1
C100118,Male,1,Yes,Yes,36,Yes,No,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,88.2,3182.37,1
C100119,Male,0,No,Yes,19,No,No phone service,DSL,Yes,No,No,No,No,Month-to-month,No,Bank transfer,54.52,1016.13,0
C100120,Male,0,No,Yes,16,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,One year,No,Mailed check,97.95,1576.25,0
C100121,Female,0,Yes,Yes,43,Yes,No,DSL,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,63.36,2724.48,0
C100122,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer,90.44,5230.52,0
C100123,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,No,One year,Yes,Credit card,82.72,2642.27,0
C100124,Female,1,Yes,No,10,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Two year,No,Electronic check,74.67,743.02,0
C100125,Female,1,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,85.71,1451.73,1
C100126,Male,1,No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,97.93,1210.55,1
C100127,Female,1,No,No,64,Yes,Yes,Fiber optic,No,No,No,No,Yes,Two year,Yes,Electronic check,85.62,5477.87,0
C100128,Female,1,No,Yes,23,Yes,Yes,DSL,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,63.72,1460.69,1
C100129,Female,1,No,Yes,27,Yes,Yes,DSL,No,No,No,No,No,One year,No,Mailed check,53.15,1393.02,0
C100130,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,One year,Yes,Electronic check,87.22,418.22,1
C100131,Female,1,No,No,32,No,No phone service,DSL,Yes,No,No,No,Yes,Month-to-month,No,Credit card,60.25,1922.63,0
C100132,Male,1,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,No,Credit card,93.27,6142.12,0
C100133,Female,1,No,No,29,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.56,,1
C100134,Female,1,No,No,47,Yes,No,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,57.06,2678.45,0
C100135,Male,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,102.97,1364.36,0
C100136,Female,1,No,No,10,Yes,Yes,DSL,Yes,No,Yes,No,No,One year,Yes,Electronic check,65.63,657.5,0
C100137,Male,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,No,No,One year,No,Electronic check,76.68,4064.59,0
C100138,Male,1,Yes,No,4,Yes,Yes,DSL,No,No,No,No,No,Two year,Yes,Credit card,58.99,234.2,1
C100139,Male,1,No,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,103.83,3322.56,0
C100140,Female,1,Yes,No,23,Yes,Yes,DSL,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,70.83,1663.44,1
C100141,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,85.02,38.63,0
C100142,Male,1,No,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.74,3217.93,0
C100143,Male,1,No,No,70,Yes,Yes,DSL,No,No,Yes,Yes,No,One year,Yes,Electronic check,67.54,4716.62,0
C100144,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,One year,Yes,Electronic check,83.37,417.16,0
C100145,Female,0,Yes,No,59,Yes,No,DSL,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,67.17,3976.79,0
C100146,Male,1,No,Yes,39,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,91.78,3588.72,0
C100147,Male,1,No,No,52,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,69.72,3617.67,0
C100148,Female,1,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.13,735.3,1
C100149,Male,1,No,Yes,63,Yes,No,DSL,No,No,No,No,Yes,Two year,Yes,Mailed check,58.31,3694.39,0
C100150,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer,79.68,3.68,0
C100151,Male,1,No,Yes,66,Yes,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,85.93,5690.55,1
C100152,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,No,One year,Yes,Electronic check,83.65,4020.68,0
C100153,Male,1,Yes,No,24,Yes,Yes,DSL,No,Yes,Yes,No,Yes,One year,No,Electronic check,72.03,1717.43,1
C100154,Male,0,No,No,0,Yes,No,DSL,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,67.89,13.96,0
C100155,Female,1,Yes,No,44,Yes,No,DSL,No,No,Yes,No,Yes,One year,Yes,Electronic check,66.54,2929.79,1
C100156,Male,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,20.26,121.59,0
C100157,Female,1,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,No,Yes,No,One year,No,Mailed check,88.97,3943.94,0
C100158,Female,0,Yes,No,56,Yes,No,DSL,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,62.0,3423.06,0
C100159,Female,0,No,Yes,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,Two year,Yes,Electronic check,85.63,1598.62,1
C100160,Female,1,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,One year,No,Mailed check,86.07,1439.44,0
C100161,Female,0,No,Yes,16,No,No phone service,DSL,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.55,,0
C100162,Male,1,No,No,16,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Credit card,84.26,1343.02,1
C100163,Male,1,Yes,No,8,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,No,Electronic check,53.36,396.71,1
C100164,Male,1,Yes,No,18,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,81.68,1450.48,0
C100165,Female,0,No,Yes,48,Yes,No,Fiber optic,No,No,No,No,No,One year,Yes,Electronic check,73.19,3496.1,0
C100166,Male,0,No,No,22,Yes,No,DSL,No,No,No,No,Yes,One year,Yes,Mailed check,59.86,1366.14,0
C100167,Male,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Two year,No,Credit card,93.77,5380.92,0
C100168,Male,1,No,No,59,Yes,No,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,87.69,5165.28,0
C100169,Male,1,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,Yes,One year,No,Bank transfer,87.92,4828.24,0
C100170,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,91.69,3552.94,1
C100171,Male,1,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,One year,No,Credit card,90.89,2052.36,1
C100172,Female,0,Yes,No,67,Yes,Yes,DSL,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,62.09,4157.69,0
C100173,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,One year,No,Electronic check,82.55,1135.73,0
C100174,Female,0,No,No,33,Yes,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,77.44,2553.96,1
C100175,Male,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,25.35,804.39,0
C100176,Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,71.16,3827.3,0
C100177,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,No,Two year,No,Electronic check,80.32,3135.45,0
C100178,Female,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,92.76,5387.56,1
C100179,Female,0,Yes,No,67,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,58.57,3932.65,0
C100180,Female,1,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,90.61,2510.73,1
C100181,Male,1,Yes,No,63,Yes,Yes,DSL,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.44,3950.74,0
C100182,Male,1,Yes,No,12,Yes,No,DSL,No,No,No,No,No,Two year,Yes,Electronic check,49.18,574.13,1
C100183,Female,0,Yes,Yes,66,Yes,No,Fiber optic,No,No,No,No,No,Two year,Yes,Bank transfer,77.21,5108.69,1
C100184,Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,97.86,1174.08,0
C100185,Male,0,No,Yes,62,Yes,Yes,DSL,No,No,Yes,Yes,No,Two year,Yes,Electronic check,70.07,4316.91,0
C100186,Male,0,Yes,No,28,Yes,Yes,DSL,No,No,No,No,No,Month-to-month,No,Mailed check,55.37,1543.94,0
C100187,Male,1,No,No,70,No,No phone service,DSL,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.55,3685.88,1
C100188,Male,1,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,97.26,887.63,0
C100189,Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,One year,No,Electronic check,90.3,2977.14,0
C100190,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,83.45,5454.71,0
C100191,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer,71.64,235.07,0
C100192,Female,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,87.23,1652.31,1
C100193,Male,1,No,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.92,632.54,1
C100194,Female,1,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.79,1942.75,1
C100195,Male,1,Yes,No,28,Yes,No,DSL,Yes,No,No,No,Yes,Two year,No,Electronic check,61.21,1753.1,0
C100196,Male,1,Yes,Yes,45,Yes,No,DSL,No,Yes,Yes,No,Yes,One year,No,Electronic check,69.29,3093.34,1
C100197,Male,1,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.21,327.26,0
C100198,Male,1,Yes,Yes,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Two year,No,Electronic check,91.99,1041.59,1
C100199,Female,1,No,No,12,Yes,No,DSL,No,No,Yes,Yes,No,Two year,Yes,Electronic check,61.67,718.91,0
